loss,val_loss
0.00011688513041008264,6.0251397371757776e-05
0.00011492327757878229,5.3688159823650494e-05
0.00010838930757017806,5.4436397476820275e-05
0.00010266149911331013,4.944575994159095e-05
0.00010128417488886043,4.886155511485413e-05
0.00010301043948857114,5.4807253036415204e-05
0.00010087941336678341,5.2926523494534194e-05
9.847700130194426e-05,5.297015013638884e-05
9.783214773051441e-05,4.843171336688101e-05
9.768231393536553e-05,5.1884533604606986e-05
9.778983076103032e-05,4.945755790686235e-05
9.720677917357534e-05,4.96854554512538e-05
9.745341230882332e-05,4.900979911326431e-05
9.747053263708949e-05,5.294165384839289e-05
